1TT900, Adaptiva system, Adaptive Systems, 6.0 hp
1RT180, Adaptiva system MN1, Adaptive Systems, 7.5 hp
1TT401, Algoritmer för parallellmaskiner, Algorithms for Parallel Computers, 6.0 hp
1TT330, Algoritmer och datastrukturer, Algorithms and Data Structures, 6.0 hp
1DL113, Algoritmer och datastrukturer 3, Algorithms and Data Structures 3, 7.5 hp
1TD442, Algoritmer och datastrukturer DV1, Algorithms and Data Structures DV1, 9.0 hp
1TD440, Algoritmer och datastrukturer DV1, Algorithms and Data Structures DV1, 7.5 hp
2AD091, Algoritmer och datastrukturer DV2, Algorithms and Data Structures DV2, 6.0 hp
1DL104, Algoritmer och datastrukturer DV3, Algorithms and Data Structures DV3, 6.0 hp
1DL210, Algoritmer och datastrukturer I, Algorithms and Data Structures I, 5.0 hp
1DL231, Algoritmer och datastrukturer II, Algorithms and Data Structures II, 5.0 hp
1DL024, Algoritmer och datastrukturer II, Algorithms and Data Structures II, 6.0 hp
1DL230, Algoritmer och datastrukturer II, Algorithms and Data Structures II, 5.0 hp
1DL481, Algoritmer och datastrukturer III, Algorithms and Data Structures III, 5.0 hp
1DL030, Algoritmer och datastrukturer III, Algorithms and Data Structures III, 7.5 hp
1DL026, Algoritmisk problemlösning, Algorithmic Problem Solving, 7.5 hp
1DL109, Algoritmisk problemlösning DV1, Algorithmic Problem Solving DV1, 7.5 hp
1TT430, Analys av numeriska metoder, Analysis of Numerical Methods, 7.5 hp
1TD243, Analys av numeriska metoder, Analysis of Numerical Methods, 5.0 hp
1TD241, Analys av numeriska metoder MN1, Analysis of Numerical Methods MN1, 7.5 hp
1TD242, Analys av numeriska metoder NV1, Analysis of Numerical Methods NV1, 7.5 hp
1MD000, Användarcentrerad systemdesign, User-Centred Systems Design, 5.0 hp
1MD011, Användarcentrerad systemdesign, User-Centred Systems Design, 7.5 hp
1IT240, Användarcentrerad systemdesign, User Centered Systems Design, 7.5 hp
1MD021, Användbarhet i praktiken, Contextual Usability, 15.0 hp
1TD308, Användning av MATLAB, Use of MATLAB, 7.5 hp
1TD311, Användning av MATLAB, Using MATLAB, 7.5 hp
1DL019, Artificiell intelligens, Artificial Intelligence, 7.5 hp
1DL340, Artificiell intelligens, Artificial Intelligence, 5.0 hp
1TD131, Artificiell intelligens MN1, Artificial Intelligence MN1, 7.5 hp
1DL031, Artificiell intelligens med statistiska metoder, Artificial Intelligence Using Statistical Methods, 7.5 hp
1DT646, Artificiella neuronnät, Artificial Neural Networks, 7.5 hp
1DT156, Artificiella neuronnät DV1, Artificial Neural Networks DV1, 6.0 hp
1DL500, Automater och logik i modellering av IT-system, Automata and Logic in IT System Modelling, 5.0 hp
1DL480, Avancerad algoritmik, Advanced Algorithmics, 10.0 hp
1DT024, Avancerad datorarkitektur, Advanced Computer Architecture, 10.0 hp
1IT211, Avancerad datorgrafik och visualisering, Advanced Computer Graphics and Visualization, 6.0 hp
1TD386, Avancerad datorgrafik och visualisering NV1, Advanced Computer Graphics and Visualization NV1, 7.5 hp
1TD387, Avancerad datorgrafik och visualisering NV1, Advanced Computer Graphics and Visualisation NV1, 7.5 hp
1DL450, Avancerad funktionell programmering, Advanced Functional Programming, 5.0 hp
1MD001, Avancerad interaktionsdesign, Advanced Interaction Design, 5.0 hp
1DL241, Avancerad programvarudesign, Advanced Software Design, 5.0 hp
1DT032, Avancerade datavetenskapsstudier i Sverige, Advanced Computer Science Studies in Sweden, 5.0 hp
1TD050, Avancerade numeriska metoder, Advanced Numerical Methods, 10.0 hp
1MD020, Avancerade visuella gränssnitt, Advanced Visual Interfaces, 5.0 hp
1TD185, Beräkningsmetoder i finansiell matematik, Computational Finance, 5.0 hp
1TD394, Beräkningsvetenskap DV, Scientific Computing DV, 5.0 hp
1TD393, Beräkningsvetenskap I, Scientific Computing I, 5.0 hp
1TD754, Beräkningsvetenskap I, Scientific Computing I, 6.0 hp
1TD766, Beräkningsvetenskap I, Scientific Computing I, 7.5 hp
1TS044, Beräkningsvetenskap II, Scientific Computing II, 7.5 hp
1TD755, Beräkningsvetenskap II, Scientific Computing II, 6.0 hp
1TD395, Beräkningsvetenskap II, Scientific Computing II, 5.0 hp
1TD397, Beräkningsvetenskap III, Scientific Computing III, 5.0 hp
1TD399, Beräkningsvetenskap KF, Scientific Computing KF, 5.0 hp
1TD391, Beräkningsvetenskap NV1, Scientific Computing NV1, 7.5 hp
1TD392, Beräkningsvetenskap NV1, Scientific Computing NV1, 7.5 hp
1TD043, Beräkningsvetenskap NV2, Scientific Computing NV2, 7.5 hp
1TD042, Beräkningsvetenskap NV2, Scientific Computing NV2, 7.5 hp
1TD333, Beräkningsvetenskap och analys, Scientific Computing and Calculus, 10.0 hp
1TD044, Beräkningsvetenskap, bryggningskurs, Scientific Computing, Bridging Course, 10.0 hp
1TD045, Beräkningsvetenskap, bryggningskurs, Scientific Computing, Bridging Course, 5.0 hp
1DL125, Bevisbart korrekt programvara, Provably correct software, 7.5 hp
1DL017, Bevisbart korrekt programvara, Provably Correct Software, 7.5 hp
1DL430, Bevisbart korrekt programvara, Provably Correct Software, 10.0 hp
1MD022, Bibliografiskt projekt i människa-datorinteraktion, Bibliographical Project in Human-Computer Interaction, 5.0 hp
1DL124, Databasdesign för ingenjörer, Database Design for Engineers, 7.5 hp
1DL116, Databasteknik, Database Design, 7.5 hp
1DL029, Databasteknik, Database Design, 7.5 hp
1MB025, Databasteknik, Database Design, 9.0 hp
2AD093, Databasteknik DV1, Database Design DV1, 6.0 hp
1DL300, Databasteknik I, Database Design I, 5.0 hp
1DL301, Databasteknik I, Database Design I, 5.0 hp
1DL400, Databasteknik II, Database Design II, 5.0 hp
1DT730, Datakommunikation, Computer Networks, 7.5 hp
1TT821, Datakommunikation, Computer Networks, 4.5 hp
1TT825, Datakommunikation, Computer Networks, 4.5 hp
1DT131, Datakommunikation DV1, Computer Networks DV1, 6.0 hp
1DT014, Datakommunikation I, Computer Networks I, 7.5 hp
1DT052, Datakommunikation I, Computer Networks I, 5.0 hp
1DT015, Datakommunikation II, Computer Networks II, 7.5 hp
1IT131, Datakommunikation II, Advanced Computer Networks, 6.0 hp
1DT074, Datakommunikation II, Computer Networks II, 10.0 hp
1IT132, Datakommunikation III, Advanced Computer Networks, second course, 7.5 hp
1DT010, Datakommunikation III, Advanced Computer NetWorks, Second Course, 7.5 hp
1DT082, Datakommunikation III, Computer Networks III, 5.0 hp
1IT130, Datakommunikation IT, Advanced Computer Networks, 4.5 hp
1DT633, Datakommunikation MN1, Computer Networks MN1, 7.5 hp
1DT634, Datakommunikation MN2, Computer Networks MN2, 7.5 hp
1DT102, Datakommunikation och distribuerade system, Computer Networks and Distributed Systems, 10.0 hp
1DT670, Dataspelsutveckling I, Computer Games Development I, 7.5 hp
1DT023, Dataspelsutveckling I, Computer Games Development I, 7.5 hp
1DT671, Dataspelsutveckling II, Computer Games Development II, 7.5 hp
1DT045, Dataspelsutveckling II, Computer Games Development II, 7.5 hp
1DL123, Dataspelsutveckling, introduktionskurs, Introduction to Computer Games Development, 7.5 hp
1MB026, Datastrukturer, Data Structures, 6.0 hp
1TD191, Datastrukturer MN1, Data Structures MN1, 7.5 hp
1DL009, Datastrukturer MN1, Data Structures MN1, 7.5 hp
1TS080, Datastrukturer och databaser, Datastructures and Databases, 7.5 hp
1DT725, Datasäkerhet, Data Security, 7.5 hp
2AD209, Datavetenskap (London), Computing Science, 18.0 hp
1DT001, Datavetenskapens didaktik, Computing Education Research, 7.5 hp
1DT029, Datavetenskapens didaktik, Computing Education Research, 7.5 hp
1DT061, Datavetenskapens didaktik, Computing Education Research, 10.0 hp
1DT025, Datoranvändning i studier och arbetsliv, Use of Computers in Studies and Work Life, 5.0 hp
1DT720, Datorarkitektur, Computer Architecture, 7.5 hp
1TT441, Datorarkitektur, Computer Architecture, 6.0 hp
1TT311, Datorarkitektur, Computer Architecture, 4.5 hp
1DT093, Datorarkitektur, Computer Architecture, 10.0 hp
1DT038, Datorarkitektur I, Computer Architecture I, 5.0 hp
1DT016, Datorarkitektur I, Computer Architecture I, 7.5 hp
1DT013, Datorarkitektur II, Computer Architecture II, 7.5 hp
1IT190, Datorarkitektur IT, Computer Architecture IT, 4.5 hp
1DT631, Datorarkitektur MN1, Computer Architecture MN1, 7.5 hp
1DT636, Datorarkitektur MN2, Computer Architecture MN2, 7.5 hp
1DT085, Datorarkitektur och digitalteknik, Computer Architecture and Digital Technology, 10.0 hp
1TS250, Datorbaserad styrning, Computer Controlled Systems, 7.5 hp
1TV450, Datorbaserad styrning, Computer Controlled Systems, 9.0 hp
1RT450, Datorbaserad styrning, Computer Controlled Systems, 9.0 hp
2AD535, Datorer och UNIX DV1, Introduction to UNIX DV1, 3.0 hp
1TD317, Datorer och programmering, Computers and Programming, 10.0 hp
1TD315, Datorer och programmering TDB1, Computers and Programming, First Course, 7.5 hp
1TD325, Datorer och programmering TDB2, Computers and Programming, Second Course, 7.5 hp
1TD335, Datorer och programmering TDB3, Computers and Programming, Third Course, 7.5 hp
1TT180, Datorgrafik, Computer Graphics, 6.0 hp
1TD388, Datorgrafik, Computer Graphics, 10.0 hp
1TD620, Datorgrafik DV1, Computer Graphics DV1, 6.0 hp
1IT200, Datorgrafik II, Computer Graphics II, 6.0 hp
1TD381, Datorgrafik MN1, Computer Graphics MN1, 7.5 hp
1TD385, Datorgrafik MN2, Computer Graphics MN2, 7.5 hp
1TD383, Datorgrafik NV1, Computer Graphics NV1, 7.5 hp
1TT341, Datoriserad bildanalys, Digital Image Analysis, 4.5 hp
1TD396, Datoriserad bildanalys I, Computer Assisted Image Analysis I, 5.0 hp
1TD398, Datoriserad bildanalys II, Computer Assisted Image Analysis II, 10.0 hp
1TD373, Datoriserad bildanalys MN1, Computer Assisted Image Analysis MN1, 7.5 hp
1TD374, Datoriserad bildanalys MN2, Computer Assisted Image Analysis MN2, 7.5 hp
1TD377, Datoriserad bildanalys NV1, Computer Assisted Image Analysis NV1, 7.5 hp
1TD384, Datoriserad bildanalys NV2, Computer Assisted Image Analysis NV2, 7.5 hp
1TD265, Datormoln med tillämpningar, Applied Cloud Computing, 10.0 hp
1EI030, Datorstödd elektronikkonstruktion, Computer Aided Electronic Design, 3.0 hp
1DT041, Datorstödd elektronikkonstruktion, Computer Aided Electronic Design, 5.0 hp
1DT030, Datorstödd elektronikkonstruktion, projekt, Computer Aided Electronic Design, 7.5 hp
1DT076, Datorstödd utbildning, Computer-Supported Collaborative Learning, 7.5 hp
1DT151, Datorsystem DV1, Computer Systems DV1, 15.0 hp
1IT050, Datorsystem I, Computer Systems I, 15.0 hp
1IT070, Datorsystem II, Computer Systems II, 13.5 hp
1DT832, Datorsystem, projekt EI1, Computer Systems Project, 15.0 hp
1DT017, Datorsystem, projekt elektronik, Computer Systems Project Electronics, 15.0 hp
1DT827, Datorteknik EI1, Computer Technology EI1, 22.5 hp
1MD113, Design och konstruktion av användargränssnitt, Design and Construction of User Interfaces, 7.5 hp
